scriptureID,scriptures
1,Phillippians 4:13
2,Mark 12:31
3,1 Corinthians 13:4-5
4,Romans 8:28
5,Matthew 11:28-30
6,Psalm 46
7,Psalm 136:1-3
8,Jeremiah 29:11
9,Phillippians 2:3
10,Deuteronomy 31:6
11, Psalm 23:4
12,Matthew 5:16
13,1 John 1:9
14,Psalm 51:10-12
15,2 Corinthians 5:7
16,Proverbs 2:6
17,Psalm 30:5
18,Proverbs 22:6
19,Philippians 4:6-7 
20,Isaiah 41:10
21,Isaiah 40:31
22,Psalm 34:17-18
23,1 Thessalonians 5:18
24,Proverbs 25:5
25,Galatians 6:9
26,Proverbs 3:5-6
27,Psalm 147:3
28,Joshua 1:9
29,1 Corinthians 13
